model,cold_period,CBIQ,CBRQ,IL_@0.8 Baseline,IL_@0.8 FE-UCB,coldCL@0.8 Baseline,coldCL@0.8 FE-UCB,CL_@0.8 Baseline,CL_@0.8 FE-UCB
catboost,0,2.0777389903329753,0.0,2790.8015206957357,22802.491629800297,247.10330540376142,1357.7517350947273,80628.23119962003,80835.6524751473
catboost,10,2.0911654135338344,0.0,5758.362221153048,26481.945500015143,389.87616200188,1514.7080402542751,80628.23119962003,80821.79314886288
catboost,100,2.289205155746509,0.0003986080606522025,37561.90173467083,72798.15699808394,1777.4067927548144,3211.3408401492284,80628.23119962003,80463.44416758844
catboost,200,2.292561761546724,0.00318886448521762,76226.8628993653,134422.666287269,3631.7435859963116,5741.083223404542,80628.23119962003,79980.82939285545
catboost,500,2.201933404940924,0.011559633758913872,188353.4137436379,295841.1216391346,9498.33896088414,13147.000711402325,80628.23119962003,78765.36536425071
lightgbm,0,1.5131226566684521,0.0019936760595391416,2939.4926184116957,20456.19759565649,251.00630065624662,1181.1480654148918,80511.04093166025,80712.24516249076
lightgbm,10,1.546598821638993,0.0019936760595391416,6322.217973374382,24967.719828321955,407.5245337020527,1360.1013319803549,80511.04093166025,80692.01923562419
lightgbm,100,1.6369844670594538,0.00239241127144697,39312.996454067856,74335.73397869701,1794.854107183034,3106.82712168953,80511.04093166025,80326.50830620444
lightgbm,200,1.7273701124799143,0.00478482254289394,78918.44760451524,134638.3973529726,3660.1471282325924,5546.448076664394,80511.04093166025,79892.5014028048
lightgbm,500,1.717327262988752,0.010765850721511367,192399.42133632457,291011.43293874693,9550.553764037113,12699.439451613138,80511.04093166025,78891.08837543592
xgboost,0,3.2270996191621566,0.007577842388854988,4755.249419963014,35364.722743081235,345.2554863806817,1836.9560704304952,80662.04591817569,80630.90860004754
xgboost,10,3.2538250818467294,0.007577842388854988,7634.379350154272,38558.39308299239,490.0541177729376,1989.021831510733,80662.04591817569,80628.61823310956
xgboost,100,3.4576067348165966,0.009970845248493405,39179.28631713339,82839.11909877657,1878.163770738779,3631.039521031223,80662.04591817569,80303.00176051527
xgboost,200,3.561167902719316,0.013560349537951032,78133.89513133683,144328.7933778492,3772.5908149539673,6197.7715811776925,80662.04591817569,79852.61217625937
xgboost,500,3.7415647758401818,0.01994169049698681,191207.60326052626,305070.1009392652,9667.797720143828,13600.218171622178,80662.04591817569,78788.92862100161
tabnet,0,0.0,0.0,3603.197645304814,3602.343723283889,233.2251972422459,233.16282765646952,66679.77061351194,66679.70973029755
tabnet,10,0.0,0.0,7713.648894955937,7712.0422568128515,392.552528886208,392.4901593004315,66679.77061351194,66679.7126959437
tabnet,100,0.0,0.0,48179.41382442361,48177.07838096012,1811.6269991235365,1811.5769846955845,66679.77061351194,66679.71957136459
tabnet,200,0.0,0.0,98720.52740593352,98718.28980684419,3783.1020752360796,3783.017824735393,66679.77061351194,66679.72973616862
tabnet,500,0.0,0.0,235865.97192474193,235862.51339952776,9711.527704546632,9711.447395333178,66679.77061351194,66679.72364641768
