index,Baseline,UCB-FE(T=0),UCB-FE(T=10),UCB-FE(T=100),UCB-FE(T=200),UCB-FE(T=500),Experiment
NDCG,0.3831559366248239,0.3840753569585232,0.3839779068743371,0.3820635804612024,0.3796841589138208,0.373975098396765,1
NDCG,0.379626149992779,0.3808130147282953,0.3807255711979028,0.3789081223709626,0.3763293933804049,0.3705772167118945,2
NDCG,0.3783846746942729,0.3790069751436273,0.3789450595210526,0.3769976693127876,0.374218491557679,0.3679987338350359,3
NDCG,0.3842873284318783,0.3850232087671394,0.3849314257317154,0.3829311121197827,0.3805106323361356,0.3748849301530522,4
NDCG,0.3853739868597568,0.3855094190810428,0.3854531830386564,0.3833758550844904,0.3805389489420118,0.3752426659071888,5
NDCG,0.3839546693244888,0.3847906170919665,0.3847100613362121,0.3828866910041052,0.3802347336522281,0.3747261719294718,6
NDCG,0.3848064604383641,0.3857234931306685,0.3856353588720501,0.3827544844209883,0.3789721046667839,0.3719747869883477,7
NDCG,0.3834989145175327,0.3844400655324985,0.3843612988582284,0.3811633639078429,0.3777455458290085,0.3714434250868128,8
NDCG,0.3734799229574584,0.3741627901422269,0.3740183666888604,0.3711066617726016,0.3679908350433672,0.3623179960698322,9
NDCG,0.376643590707191,0.3774557035351916,0.3772729062415824,0.3744548332454035,0.3715072737069254,0.3657501415977247,10
NDCG,0.3820713750130864,0.3831258053789484,0.382982710769589,0.3801399738878977,0.3772238296310937,0.3719861659038316,11
NDCG,0.3832252193569066,0.3840467139358563,0.3839482148988113,0.3809179200021232,0.3778157570080772,0.3722167856285642,12
NDCG,0.3825490542874302,0.3834841905597764,0.3833498454416237,0.3802307530411286,0.3771667783035347,0.3715364852292948,13
NDCG,0.380759012507384,0.3823305836384514,0.3822235034105788,0.3795205816803071,0.3765600061710871,0.3706478086381868,14
NDCG,0.3803690019604822,0.3816343733960868,0.3815367678549488,0.3790572333168225,0.3758257921356362,0.3699835551234432,15
NDCG,0.3804980858176457,0.3817425061635312,0.3816751912185293,0.3788902841642372,0.3756665810997896,0.3699491397815873,16
NDCG,0.3829750895524179,0.3842703449647371,0.3841451828944974,0.3814812024372053,0.3784173406768646,0.3721763312918645,17
NDCG,0.3839399616266894,0.3855488459787394,0.3854138444888543,0.3827053742855521,0.3795641997125771,0.3742325739276603,18
NDCG,0.3829764371439166,0.3846385283895737,0.3845978184249693,0.382043308432195,0.3791531420322883,0.37338656822484,19
NDCG,0.3828718959489867,0.3842320136683644,0.3841427012949995,0.3813874506058632,0.3784689422744078,0.3731375292763727,20
NDCG,0.3788584252696731,0.3802975409121765,0.3801902465317544,0.3779398014497341,0.3749931607367851,0.3697246454006033,21
