,AUC base,"AUC fe-ucb, T = 0","AUC fe-ucb, T = 10","AUC fe-ucb, T = 100","AUC fe-ucb, T = 200","AUC fe-ucb, T = 500"
lightgbm,0.6711977374742596,0.6744826219169516,0.6744281856480256,0.6733377209050873,0.6720347057112989,0.669035179172364
xgboost,0.671194502049702,0.673939865472434,0.6739464580214097,0.6730402561351362,0.671684511278998,0.6686907105840627
tabnet,0.5896336386043952,0.5896177299660574,0.5896181692097999,0.5896152307101972,0.5896152653263524,0.589615685331229
catboost,0.6715418452509169,0.674387564199276,0.6743543143714358,0.6733494640763084,0.6719442163555508,0.6687268705191713
