model,cold_period,CBIQ,CBRQ,IL_@0.9 Baseline,IL_@0.9 FE-UCB,coldCL@0.9 Baseline,coldCL@0.9 FE-UCB,CL_@0.9 Baseline,CL_@0.9 FE-UCB
catboost,0,2.0777389903329753,0.0,10907.674961828712,42581.05656445455,742.3946529368923,2274.379954397539,122640.28048101987,122995.83173246833
catboost,10,2.0911654135338344,0.0,17104.28653361537,50036.22257645462,975.20805092965,2525.6655564567745,122640.28048101987,122979.81176646144
catboost,100,2.289205155746509,0.0003986080606522025,82989.27483363297,136398.79827821816,3249.602977074137,5163.030475305461,122640.28048101987,122573.8774814521
catboost,200,2.292561761546724,0.00318886448521762,160216.5351368977,243525.2131984089,6271.9418706797715,8922.064209708404,122640.28048101987,122030.8985094139
catboost,500,2.201933404940924,0.011559633758913872,375074.3267473817,520730.9817424253,15656.22393982108,19962.494725605975,122640.28048101987,120684.41656613183
lightgbm,0,1.5131226566684521,0.0019936760595391416,11087.872373397846,40057.44571303824,740.5317464446753,2087.95380165275,122490.14580757654,122839.36083676113
lightgbm,10,1.546598821638993,0.0019936760595391416,17816.14747338677,48638.855983651265,987.3451846941512,2362.4425795252923,122490.14580757654,122814.19471962065
lightgbm,100,1.6369844670594538,0.00239241127144697,85480.96677867335,139466.47233203167,3271.836619102593,5069.14770426957,122490.14580757654,122393.00209144628
lightgbm,200,1.7273701124799143,0.00478482254289394,164369.26332081223,245834.67554969064,6321.961497747432,8765.136316233738,122490.14580757654,121896.44166266403
lightgbm,500,1.717327262988752,0.010765850721511367,381764.2421436097,518215.20995772583,15753.99210500638,19591.092742960176,122490.14580757654,120776.04742106215
xgboost,0,3.2270996191621566,0.007577842388854988,13193.877230911658,49583.67440462838,842.6908251117877,2491.812361592261,122618.72604547157,122756.48568977807
xgboost,10,3.2538250818467294,0.007577842388854988,19107.54399037019,56128.3698498073,1072.816430103866,2733.908984409992,122618.72604547157,122752.64658395287
xgboost,100,3.4576067348165966,0.009970845248493405,84132.07477946255,138310.49952592605,3342.926442607865,5301.836247078928,122618.72604547157,122397.8897942479
xgboost,200,3.561167902719316,0.013560349537951032,161732.45767154192,244960.80509193943,6412.945110165592,9095.184538677262,122618.72604547157,121884.47313210729
xgboost,500,3.7415647758401818,0.01994169049698681,378119.06359752314,522635.33268660196,15847.187658116085,20179.292473515005,122618.72604547157,120659.71768470097
tabnet,0,0.0,0.0,10983.525528002203,10982.026011393418,667.1992646562313,666.9659034451948,107610.93347985206,107610.72243448712
tabnet,10,0.0,0.0,18789.02296230417,18786.587971989386,916.7039505481429,916.4705893371067,107610.93347985206,107610.74662144524
tabnet,100,0.0,0.0,96454.02763551367,96450.58876353627,3224.2167419608554,3224.022439469869,107610.93347985206,107610.87049244474
tabnet,200,0.0,0.0,189494.6130600492,189491.09674436337,6394.192601583774,6393.9456221938435,107610.93347985206,107610.87824895004
tabnet,500,0.0,0.0,436982.79999619536,436978.31328523805,15865.890620505668,15865.709576902222,107610.93347985206,107610.8943994564
