,NDCG base,"NDCG fe-ucb, T = 0","NDCG fe-ucb, T = 10","NDCG fe-ucb, T = 100","NDCG fe-ucb, T = 200","NDCG fe-ucb, T = 500"
lightgbm,0.3810026917901626,0.3822030951092401,0.38209203013474585,0.38024694756822497,0.37809326046023306,0.37321373178321776
xgboost,0.3822964570626423,0.3824914561788648,0.3824804291811777,0.3808297170084636,0.37858266628027254,0.3735189723315787
tabnet,0.3145743359173585,0.3145740078676054,0.3145740178001433,0.3145740804293527,0.31457408276892856,0.3145738180903261
catboost,0.38183264650235055,0.38306689542819394,0.3830073133669174,0.38116553035394213,0.37878016105313367,0.3730598216687235
