,Stratified AUC base,"Stratified AUC fe-ucb, T = 0","Stratified AUC fe-ucb, T = 10","Stratified AUC fe-ucb, T = 100","Stratified AUC fe-ucb, T = 200","Stratified AUC fe-ucb, T = 500"
lightgbm,0.638445538178697,0.6417560391116369,0.6416005535672338,0.6395375492680843,0.6371170437833287,0.6319003572986347
xgboost,0.6390055769576283,0.6415647669521253,0.6415324464573978,0.6400045197191249,0.6375341024213014,0.6319761161932511
tabnet,0.5693919496124444,0.569387594006916,0.5693878646670634,0.5693886294062581,0.5693885823466535,0.5693872578438824
catboost,0.6395922848589286,0.642947052137958,0.6428466735044935,0.6408625652938652,0.6383523754920677,0.6324565855579434
